
bent_cigar_5D, min=165606.19902556523, max=6414892.781508425, mean=2401485.3607328883, median=2265061.937577567, stddev=1331553.1047677125

bent_cigar_10D, min=52718962.801756114, max=161234630.00780016, mean=92563001.60699315, median=87663715.95540743, stddev=25997053.404954176

schwefel_5D, min=1148.7987073837971, max=1718.5025649184925, mean=1470.7545104636001, median=1465.6813880540008, stddev=142.32586128420965

schwefel_10D, min=1867.7261793834286, max=2937.9649152692996, mean=2545.8621730329596, median=2580.551559631108, stddev=289.54505039875556

lunacek_bi_rastrigin_5D, min=706.6811088967409, max=724.4804484918527, mean=716.6493926516966, median=717.2055820978062, stddev=3.934448885624217

lunacek_bi_rastrigin_10D, min=746.234352944796, max=781.3969176868914, mean=765.200704783603, median=764.9847615346782, stddev=10.156333287122266

rosenbrock_griewangk_5D, min=1900.3913674406897, max=1901.6334480027663, mean=1901.1620255320138, median=1901.2661455207217, stddev=0.3136994380368691

rosenbrock_griewangk_10D, min=1903.8894776302784, max=1907.8846992139731, mean=1905.7870870725678, median=1905.6951663409532, stddev=0.8763327047953375

hybrid_one_5D, min=1770.3981820799804, max=13273.767574007668, mean=3613.334711082428, median=2356.3184924115344, stddev=2857.429736480455

hybrid_one_10D, min=5577.129425704485, max=81215.47480596931, mean=25007.45467730557, median=16474.838005132315, stddev=20391.321883382927

hybrid_two_10D, min=1623.5939518363532, max=2009.424996424866, mean=1788.8922944264427, median=1771.5824753498978, stddev=87.58672168066363

hybrid_three_10D, min=3226.1817714396184, max=32802.48576976794, mean=11098.350880392743, median=7469.496444993509, stddev=7941.594338556959

composition_one_5D, min=2207.1266848688297, max=2850.874933407812, mean=2283.4452179036484, median=2262.127534246263, stddev=113.21305810684912

composition_one_10D, min=2250.4930274972116, max=4239.8318336707225, mean=2703.206957365119, median=2324.209754143968, stddev=679.6308366478524

composition_two_5D, min=2503.6041553049163, max=2725.7146156968265, mean=2561.3875613932387, median=2517.842771710575, stddev=69.51857338523274

composition_two_10D, min=2519.874087108173, max=2788.0976947396416, mean=2733.5085215499507, median=2769.3566097129806, stddev=76.5390822611258

composition_three_5D, min=2816.0682052420125, max=2848.3121898751588, mean=2844.2660547331648, median=2847.8018592864446, stddev=8.933084755324012

composition_three_10D, min=2905.062978596431, max=2957.1559689295354, mean=2934.1065504983612, median=2933.6750525198386, stddev=17.834942199935696
